    42406,     42572,     42739,     42908,     43077,     43248,     43419,     43592,     43766,     43941, 
    44117,     44294,     44473,     44652,     44832,     45014,     45196,     45380,     45564,     45750, 
    45937,     46124,     46313,     46502,     46693,     46884,     47077,     47270,     47464,     47659, 
    47856,     48052,     48250,     48449,     48649,     48849,     49051,     49253,     49456,     49659, 
    49864,     50069,     50276,     50483,     50690,     50899,     51108,     51318,     51529,     51740, 
    51952,     52165,     52378,     52592,     52807,     53023,     53239,     53455,     53673,     53891, 
    54109,     54328,     54548,     54768,     54989,     55210,     55432,     55654,     55877,     56100, 
    56324,     56548,     56773,     56998,     57224,     57450,     57676,     57903,     58130,     58358, 
    58586,     58814,     59043,     59272,     59501,     59730,     59960,     60191,     60421,     60652, 
    60883,     61114,     61345,     61577,     61809,     62041,     62273,     62505,     62738,     62970, 
    63203,     63436,     63669,     63902,     64135,     64369,     64602,     64835,     65069,     65302, 
        0,       233,       466,       700,       933,      1166,      1400,      1633,      1866,      2099, 
     2332,      2565,      2797,      3030,      3262,      3494,      3726,      3958,      4190,      4421, 
     4652,      4883,      5114,      5344,      5575,      5805,      6034,      6263,      6492,      6721, 
     6949,      7177,      7405,      7632,      7859,      8085,      8311,      8537,      8762,      8987, 
     9211,      9435,      9658,      9881,     10103,     10325,     10546,     10767,     10987,     11207, 
    11426,     11644,     11862,     12080,     12296,     12512,     12728,     12943,     13157,     13370, 
    13583,     13795,     14006,     14217,     14427,     14636,     14845,     15052,     15259,     15466, 
    15671,     15876,     16079,     16282,     16484,     16686,     16886,     17086,     17285,     17483, 
    17679,     17876,     18071,     18265,     18458,     18651,     18842,     19033,     19222,     19411, 
    19598,     19785,     19971,     20155,     20339,     20521,     20703,     20883,     21062,     21241, 
    21418,     21594,     21769,     21943,     22116,     22287,     22458,     22627,     22796,     22963, 
    23129,     23293,     23457,     23619,     23781,     23941,     24099,     24257,     24413,     24568, 
    24722,     24875,     25026,     25176,     25325,     25472,     25619,     25763,     25907,     26049, 
    26190,     26330,     26468,     26605,     26741,     26875,     27008,     27139,     27269,     27398, 
    27525,     27651,     27776,     27899,     28021,     28141,     28260,     28377,     28493,     28608, 
    28721,     28833,     28943,     29052,     29159,     29265,     29369,     29472,     29573,     29673, 
    29771,     29868,     29963,     30057,     30149,     30240,     30329,     30416,     30502,     30587, 
    30670,     30751,     30831,     30909,     30986,     31061,     31135,     31207,     31277,     31346, 
    31413,     31479,     31543,     31605,     31666,     31725,     31783,     31839,     31893,     31946, 
    31997,     32047,     32094,     32141,     32185,     32228,     32270,     32309,     32347,     32384, 
    32419,     32452,     32483,     32513,     32541,     32568,     32593,     32616,     32638,     32658, 
    32676,     32692,     32707,     32721,     32732,     32742,     32751,     32757,     32762,     32766, 
    32767,     32767,     32766,     32762,     32757,     32751,     32742,     32732,     32721,     32707, 
    32692,     32676,     32658,     32638,     32616,     32593,     32568,     32541,     32513,     32483, 
    32452,     32419,     32384,     32347,     32309,     32270,     32228,     32185,     32141,     32094, 
    32047,     31997,     31946,     31893,     31839,     31783,     31725,     31666,     31605,     31543, 
    31479,     31413,     31346,     31277,     31207,     31135,     31061,     30986,     30909,     30831, 
    30751,     30670,     30587,     30502,     30416,     30329,     30240,     30149,     30057,     29963, 
    29868,     29771,     29673,     29573,     29472,     29369,     29265,     29159,     29052,     28943, 
    28833,     28721,     28608,     28493,     28377,     28260,     28141,     28021,     27899,     27776, 
    27651,     27525,     27398,     27269,     27139,     27008,     26875,     26741,     26605,     26468, 
    26330,     26190,     26049,     25907,     25763,     25619,     25472,     25325,     25176,     25026, 
    24875,     24722,     24568,     24413,     24257,     24099,     23941,     23781,     23619,     23457, 
    23293,     23129,     22963,     22796,     22627,     22458,     22287,     22116,     21943,     21769, 
    21594,     21418,     21241,     21062,     20883,     20703,     20521,     20339,     20155,     19971, 
    19785,     19598,     19411,     19222,     19033,     18842,     18651,     18458,     18265,     18071, 
    17876,     17679,     17483,     17285,     17086,     16886,     16686,     16484,     16282,     16079, 
    15876,     15671,     15466,     15259,     15052,     14845,     14636,     14427,     14217,     14006, 
    13795,     13583,     13370,     13157,     12943,     12728,     12512,     12296,     12080,     11862, 
    11644,     11426,     11207,     10987,     10767,     10546,     10325,     10103,      9881,      9658, 
     9435,      9211,      8987,      8762,      8537,      8311,      8085,      7859,      7632,      7405, 
     7177,      6949,      6721,      6492,      6263,      6034,      5805,      5575,      5344,      5114, 
     4883,      4652,      4421,      4190,      3958,      3726,      3494,      3262,      3030,      2797, 
     2565,      2332,      2099,      1866,      1633,      1400,      1166,       933,       700,       466, 
      233,         0,     65302,     65069,     64835,     64602,     64369,     64135,     63902,     63669, 
    63436,     63203,     62970,     62738,     62505,     62273,     62041,     61809,     61577,     61345, 
    61114,     60883,     60652,     60421,     60191,     59960,     59730,     59501,     59272,     59043, 
    58814,     58586,     58358,     58130,     57903,     57676,     57450,     57224,     56998,     56773, 
    56548,     56324,     56100,     55877,     55654,     55432,     55210,     54989,     54768,     54548, 
    54328,     54109,     53891,     53673,     53455,     53239,     53023,     52807,     52592,     52378, 
    52165,     51952,     51740,     51529,     51318,     51108,     50899,     50690,     50483,     50276, 
    50069,     49864,     49659,     49456,     49253,     49051,     48849,     48649,     48449,     48250, 
    48052,     47856,     47659,     47464,     47270,     47077,     46884,     46693,     46502,     46313, 
    46124,     45937,     45750,     45564,     45380,     45196,     45014,     44832,     44652,     44473, 
    44294,     44117,     43941,     43766,     43592,     43419,     43248,     43077,     42908,     42739, 
    42572,     42406,     42242,     42078,     41916,     41754,     41594,     41436,     41278,     41122, 
    40967,     40813,     40660,     40509,     40359,     40210,     40063,     39916,     39772,     39628, 
    39486,     39345,     39205,     39067,     38930,     38794,     38660,     38527,     38396,     38266, 
    38137,     38010,     37884,     37759,     37636,     37514,     37394,     37275,     37158,     37042, 
    36927,     36814,     36702,     36592,     36483,     36376,     36270,     36166,     36063,     35962, 
    35862,     35764,     35667,     35572,     35478,     35386,     35295,     35206,     35119,     35033, 
    34948,     34865,     34784,     34704,     34626,     34549,     34474,     34400,     34328,     34258, 
    34189,     34122,     34056,     33992,     33930,     33869,     33810,     33752,     33696,     33642, 
    33589,     33538,     33488,     33441,     33394,     33350,     33307,     33265,     33226,     33188, 
    33151,     33116,     33083,     33052,     33022,     32994,     32967,     32942,     32919,     32897, 
    32877,     32859,     32843,     32828,     32814,     32803,     32793,     32784,     32778,     32773, 
    32769,     32768,     32768,     32769,     32773,     32778,     32784,     32793,     32803,     32814, 
    32828,     32843,     32859,     32877,     32897,     32919,     32942,     32967,     32994,     33022, 
    33052,     33083,     33116,     33151,     33188,     33226,     33265,     33307,     33350,     33394, 
    33441,     33488,     33538,     33589,     33642,     33696,     33752,     33810,     33869,     33930, 
    33992,     34056,     34122,     34189,     34258,     34328,     34400,     34474,     34549,     34626, 
    34704,     34784,     34865,     34948,     35033,     35119,     35206,     35295,     35386,     35478, 
    35572,     35667,     35764,     35862,     35962,     36063,     36166,     36270,     36376,     36483, 
    36592,     36702,     36814,     36927,     37042,     37158,     37275,     37394,     37514,     37636, 
    37759,     37884,     38010,     38137,     38266,     38396,     38527,     38660,     38794,     38930, 
    39067,     39205,     39345,     39486,     39628,     39772,     39916,     40063,     40210,     40359, 
    40509,     40660,     40813,     40967,     41122,     41278,     41436,     41594,     41754,     41916, 
    42078,     42242,     42406,     42572,     42739,     42908,     43077,     43248,     43419,     43592, 
    43766,     43941,     44117,     44294,     44473,     44652,     44832,     45014,     45196,     45380, 
    45564,     45750,     45937,     46124,     46313,     46502,     46693,     46884,     47077,     47270, 
    47464,     47659,     47856,     48052,     48250,     48449,     48649,     48849,     49051,     49253, 
    49456,     49659,     49864,     50069,     50276,     50483,     50690,     50899,     51108,     51318, 
    51529,     51740,     51952,     52165,     52378,     52592,     52807,     53023,     53239,     53455, 
    53673,     53891,     54109,     54328,     54548,     54768,     54989,     55210,     55432,     55654, 
    55877,     56100,     56324,     56548,     56773,     56998,     57224,     57450,     57676,     57903, 
    58130,     58358,     58586,     58814,     59043,     59272,     59501,     59730,     59960,     60191, 
    60421,     60652,     60883,     61114,     61345,     61577,     61809,     62041,     62273,     62505, 
    62738,     62970,     63203,     63436,     63669,     63902,     64135,     64369,     64602,     64835, 
    65069,     65302,         0,       233,       466,       700,       933,      1166,      1400,      1633, 
     1866,      2099,      2332,      2565,      2797,      3030,      3262,      3494,      3726,      3958, 
     4190,      4421,      4652,      4883,      5114,      5344,      5575,      5805,      6034,      6263, 
     6492,      6721,      6949,      7177,      7405,      7632,      7859,      8085,      8311,      8537, 
     8762,      8987,      9211,      9435,      9658,      9881,     10103,     10325,     10546,     10767, 
    10987,     11207,     11426,     11644,     11862,     12080,     12296,     12512,     12728,     12943, 
    13157,     13370,     13583,     13795,     14006,     14217,     14427,     14636,     14845,     15052, 
    15259,     15466,     15671,     15876,     16079,     16282,     16484,     16686,     16886,     17086, 
    17285,     17483,     17679,     17876,     18071,     18265,     18458,     18651,     18842,     19033, 
    19222,     19411,     19598,     19785,     19971,     20155,     20339,     20521,     20703,     20883, 
    21062,     21241,     21418,     21594,     21769,     21943,     22116,     22287,     22458,     22627, 
    22796,     22963,     23129,     23293,     23457,     23619,     23781,     23941,     24099,     24257, 
    24413,     24568,     24722,     24875,     25026,     25176,     25325,     25472,     25619,     25763, 
    25907,     26049,     26190,     26330,     26468,     26605,     26741,     26875,     27008,     27139, 
    27269,     27398,     27525,     27651,     27776,     27899,     28021,     28141,     28260,     28377, 
    28493,     28608,     28721,     28833,     28943,     29052,     29159,     29265,     29369,     29472, 
    29573,     29673,     29771,     29868,     29963,     30057,     30149,     30240,     30329,     30416, 
    30502,     30587,     30670,     30751,     30831,     30909,     30986,     31061,     31135,     31207, 
    31277,     31346,     31413,     31479,     31543,     31605,     31666,     31725,     31783,     31839, 
    31893,     31946,     31997,     32047,     32094,     32141,     32185,     32228,     32270,     32309, 
    32347,     32384,     32419,     32452,     32483,     32513,     32541,     32568,     32593,     32616, 
    32638,     32658,     32676,     32692,     32707,     32721,     32732,     32742,     32751,     32757, 
    32762,     32766,     32767,     32767,     32766,     32762,     32757,     32751,     32742,     32732, 
    32721,     32707,     32692,     32676,     32658,     32638,     32616,     32593,     32568,     32541, 
    32513,     32483,     32452,     32419,     32384,     32347,     32309,     32270,     32228,     32185, 
    32141,     32094,     32047,     31997,     31946,     31893,     31839,     31783,     31725,     31666, 
    31605,     31543,     31479,     31413,     31346,     31277,     31207,     31135,     31061,     30986, 
    30909,     30831,     30751,     30670,     30587,     30502,     30416,     30329,     30240,     30149, 
    30057,     29963,     29868,     29771,     29673,     29573,     29472,     29369,     29265,     29159, 
    29052,     28943,     28833,     28721,     28608,     28493,     28377,     28260,     28141,     28021, 
    27899,     27776,     27651,     27525,     27398,     27269,     27139,     27008,     26875,     26741, 
    26605,     26468,     26330,     26190,     26049,     25907,     25763,     25619,     25472,     25325, 
    25176,     25026,     24875,     24722,     24568,     24413,     24257,     24099,     23941,     23781, 
    23619,     23457,     23293,     23129,     22963,     22796,     22627,     22458,     22287,     22116, 
    21943,     21769,     21594,     21418,     21241,     21062,     20883,     20703,     20521,     20339, 
    20155,     19971,     19785,     19598,     19411,     19222,     19033,     18842,     18651,     18458, 
    18265,     18071,     17876,     17679,     17483,     17285,     17086,     16886,     16686,     16484, 
    16282,     16079,     15876,     15671,     15466,     15259,     15052,     14845,     14636,     14427, 
    14217,     14006,     13795,     13583,     13370,     13157,     12943,     12728,     12512,     12296, 
    12080,     11862,     11644,     11426,     11207,     10987,     10767,     10546,     10325,     10103, 
     9881,      9658,      9435,      9211,      8987,      8762,      8537,      8311,      8085,      7859, 
     7632,      7405,      7177,      6949,      6721,      6492,      6263,      6034,      5805,      5575, 
     5344,      5114,      4883,      4652,      4421,      4190,      3958,      3726,      3494,      3262, 
     3030,      2797,      2565,      2332,      2099,      1866,      1633,      1400,      1166,       933, 
      700,       466,       233,         0,     65302,     65069,     64835,     64602,     64369,     64135, 
    63902,     63669,     63436,     63203,     62970,     62738,     62505,     62273,     62041,     61809, 
    61577,     61345,     61114,     60883,     60652,     60421,     60191,     59960,     59730,     59501, 
    59272,     59043,     58814,     58586,     58358,     58130,     57903,     57676,     57450,     57224, 
    56998,     56773,     56548,     56324,     56100,     55877,     55654,     55432,     55210,     54989, 
    54768,     54548,     54328,     54109,     53891,     53673,     53455,     53239,     53023,     52807, 
    52592,     52378,     52165,     51952,     51740,     51529,     51318,     51108,     50899,     50690, 
    50483,     50276,     50069,     49864,     49659,     49456,     49253,     49051,     48849,     48649, 
    48449,     48250,     48052,     47856,     47659,     47464,     47270,     47077,     46884,     46693, 
    46502,     46313,     46124,     45937,     45750,     45564,     45380,     45196,     45014,     44832, 
    44652,     44473,     44294,     44117,     43941,     43766,     43592,     43419,     43248,     43077, 
    42908,     42739,     42572,     42406,     42242,     42078,     41916,     41754,     41594,     41436, 
    41278,     41122,     40967,     40813,     40660,     40509,     40359,     40210,     40063,     39916, 
    39772,     39628,     39486,     39345,     39205,     39067,     38930,     38794,     38660,     38527, 
    38396,     38266,     38137,     38010,     37884,     37759,     37636,     37514,     37394,     37275, 
    37158,     37042,     36927,     36814,     36702,     36592,     36483,     36376,     36270,     36166, 
    36063,     35962,     35862,     35764,     35667,     35572,     35478,     35386,     35295,     35206, 
    35119,     35033,     34948,     34865,     34784,     34704,     34626,     34549,     34474,     34400, 
    34328,     34258,     34189,     34122,     34056,     33992,     33930,     33869,     33810,     33752, 
    33696,     33642,     33589,     33538,     33488,     33441,     33394,     33350,     33307,     33265, 
    33226,     33188,     33151,     33116,     33083,     33052,     33022,     32994,     32967,     32942, 
    32919,     32897,     32877,     32859,     32843,     32828,     32814,     32803,     32793,     32784, 
    32778,     32773,     32769,     32768,     32768,     32769,     32773,     32778,     32784,     32793, 
    32803,     32814,     32828,     32843,     32859,     32877,     32897,     32919,     32942,     32967, 
    32994,     33022,     33052,     33083,     33116,     33151,     33188,     33226,     33265,     33307, 
    33350,     33394,     33441,     33488,     33538,     33589,     33642,     33696,     33752,     33810, 
    33869,     33930,     33992,     34056,     34122,     34189,     34258,     34328,     34400,     34474, 
    34549,     34626,     34704,     34784,     34865,     34948,     35033,     35119,     35206,     35295, 
    35386,     35478,     35572,     35667,     35764,     35862,     35962,     36063,     36166,     36270, 
    36376,     36483,     36592,     36702,     36814,     36927,     37042,     37158,     37275,     37394, 
    37514,     37636,     37759,     37884,     38010,     38137,     38266,     38396,     38527,     38660, 
    38794,     38930,     39067,     39205,     39345,     39486,     39628,     39772,     39916,     40063, 
    40210,     40359,     40509,     40660,     40813,     40967,     41122,     41278,     41436,     41594, 
    41754,     41916,     42078,     42242,     42406,     42572,     42739,     42908,     43077,     43248, 
    43419,     43592,     43766,     43941,     44117,     44294,     44473,     44652,     44832,     45014, 
    45196,     45380,     45564,     45750,     45937,     46124,     46313,     46502,     46693,     46884, 
    47077,     47270,     47464,     47659,     47856,     48052,     48250,     48449,     48649,     48849, 
    49051,     49253,     49456,     49659,     49864,     50069,     50276,     50483,     50690,     50899, 
    51108,     51318,     51529,     51740,     51952,     52165,     52378,     52592,     52807,     53023, 
    53239,     53455,     53673,     53891,     54109,     54328,     54548,     54768,     54989,     55210, 
    55432,     55654,     55877,     56100,     56324,     56548,     56773,     56998,     57224,     57450, 
    57676,     57903,     58130,     58358,     58586,     58814,     59043,     59272,     59501,     59730, 
    59960,     60191,     60421,     60652,     60883,     61114,     61345,     61577,     61809,     62041, 
    62273,     62505,     62738,     62970,     63203,     63436,     63669,     63902,     64135,     64369, 
    64602,     64835,     65069,     65302,         0,       233,       466,       700,       933,      1166, 
     1400,      1633,      1866,      2099,      2332,      2565,      2797,      3030,      3262,      3494, 
     3726,      3958,      4190,      4421,      4652,      4883,      5114,      5344,      5575,      5805, 
     6034,      6263,      6492,      6721,      6949,      7177,      7405,      7632,      7859,      8085, 
     8311,      8537,      8762,      8987,      9211,      9435,      9658,      9881,     10103,     10325, 
    10546,     10767,     10987,     11207,     11426,     11644,     11862,     12080,     12296,     12512, 
    12728,     12943,     13157,     13370,     13583,     13795,     14006,     14217,     14427,     14636, 
    14845,     15052,     15259,     15466,     15671,     15876,     16079,     16282,     16484,     16686, 
    16886,     17086,     17285,     17483,     17679,     17876,     18071,     18265,     18458,     18651, 
    18842,     19033,     19222,     19411,     19598,     19785,     19971,     20155,     20339,     20521, 
    20703,     20883,     21062,     21241,     21418,     21594,     21769,     21943,     22116,     22287, 
    22458,     22627,     22796,     22963,     23129,     23293,     23457,     23619,     23781,     23941, 
    24099,     24257,     24413,     24568,     24722,     24875,     25026,     25176,     25325,     25472, 
    25619,     25763,     25907,     26049,     26190,     26330,     26468,     26605,     26741,     26875, 
    27008,     27139,     27269,     27398,     27525,     27651,     27776,     27899,     28021,     28141, 
    28260,     28377,     28493,     28608,     28721,     28833,     28943,     29052,     29159,     29265, 
    29369,     29472,     29573,     29673,     29771,     29868,     29963,     30057,     30149,     30240, 
    30329,     30416,     30502,     30587,     30670,     30751,     30831,     30909,     30986,     31061, 
    31135,     31207,     31277,     31346,     31413,     31479,     31543,     31605,     31666,     31725, 
    31783,     31839,     31893,     31946,     31997,     32047,     32094,     32141,     32185,     32228, 
    32270,     32309,     32347,     32384,     32419,     32452,     32483,     32513,     32541,     32568, 
    32593,     32616,     32638,     32658,     32676,     32692,     32707,     32721,     32732,     32742, 
    32751,     32757,     32762,     32766,     32767,     32767,     32766,     32762,     32757,     32751, 
    32742,     32732,     32721,     32707,     32692,     32676,     32658,     32638,     32616,     32593, 
    32568,     32541,     32513,     32483,     32452,     32419,     32384,     32347,     32309,     32270, 
    32228,     32185,     32141,     32094,     32047,     31997,     31946,     31893,     31839,     31783, 
    31725,     31666,     31605,     31543,     31479,     31413,     31346,     31277,     31207,     31135, 
    31061,     30986,     30909,     30831,     30751,     30670,     30587,     30502,     30416,     30329, 
    30240,     30149,     30057,     29963,     29868,     29771,     29673,     29573,     29472,     29369, 
    29265,     29159,     29052,     28943,     28833,     28721,     28608,     28493,     28377,     28260, 
    28141,     28021,     27899,     27776,     27651,     27525,     27398,     27269,     27139,     27008, 
    26875,     26741,     26605,     26468,     26330,     26190,     26049,     25907,     25763,     25619, 
    25472,     25325,     25176,     25026,     24875,     24722,     24568,     24413,     24257,     24099, 
    23941,     23781,     23619,     23457,     23293,     23129,     22963,     22796,     22627,     22458, 
    22287,     22116,     21943,     21769,     21594,     21418,     21241,     21062,     20883,     20703, 
    20521,     20339,     20155,     19971,     19785,     19598,     19411,     19222,     19033,     18842, 
    18651,     18458,     18265,     18071,     17876,     17679,     17483,     17285,     17086,     16886, 
    16686,     16484,     16282,     16079,     15876,     15671,     15466,     15259,     15052,     14845, 
    14636,     14427,     14217,     14006,     13795,     13583,     13370,     13157,     12943,     12728, 
    12512,     12296,     12080,     11862,     11644,     11426,     11207,     10987,     10767,     10546, 
    10325,     10103,      9881,      9658,      9435,      9211,      8987,      8762,      8537,      8311, 
     8085,      7859,      7632,      7405,      7177,      6949,      6721,      6492,      6263,      6034, 
     5805,      5575,      5344,      5114,      4883,      4652,      4421,      4190,      3958,      3726, 
     3494,      3262,      3030,      2797,      2565,      2332,      2099,      1866,      1633,      1400, 
     1166,       933,       700,       466,       233,         0,     65302,     65069,     64835,     64602, 
    64369,     64135,     63902,     63669,     63436,     63203,     62970,     62738,     62505,     62273, 
    62041,     61809,     61577,     61345,     61114,     60883,     60652,     60421,     60191,     59960, 
    59730,     59501,     59272,     59043,     58814,     58586,     58358,     58130,     57903,     57676, 
    57450,     57224,     56998,     56773,     56548,     56324,     56100,     55877,     55654,     55432, 
    55210,     54989,     54768,     54548,     54328,     54109,     53891,     53673,     53455,     53239, 
    53023,     52807,     52592,     52378,     52165,     51952,     51740,     51529,     51318,     51108, 
    50899,     50690,     50483,     50276,     50069,     49864,     49659,     49456,     49253,     49051, 
    48849,     48649,     48449,     48250,     48052,     47856,     47659,     47464,     47270,     47077, 
    46884,     46693,     46502,     46313,     46124,     45937,     45750,     45564,     45380,     45196, 
    45014,     44832,     44652,     44473,     44294,     44117,     43941,     43766,     43592,     43419, 
    43248,     43077,     42908,     42739,     42572,     42406,     42242,     42078,     41916,     41754, 
    41594,     41436,     41278,     41122,     40967,     40813,     40660,     40509,     40359,     40210, 
    40063,     39916,     39772,     39628,     39486,     39345,     39205,     39067,     38930,     38794, 
    38660,     38527,     38396,     38266,     38137,     38010,     37884,     37759,     37636,     37514, 
    37394,     37275,     37158,     37042,     36927,     36814,     36702,     36592,     36483,     36376, 
    36270,     36166,     36063,     35962,     35862,     35764,     35667,     35572,     35478,     35386, 
    35295,     35206,     35119,     35033,     34948,     34865,     34784,     34704,     34626,     34549, 
    34474,     34400,     34328,     34258,     34189,     34122,     34056,     33992,     33930,     33869, 
    33810,     33752,     33696,     33642,     33589,     33538,     33488,     33441,     33394,     33350, 
    33307,     33265,     33226,     33188,     33151,     33116,     33083,     33052,     33022,     32994, 
    32967,     32942,     32919,     32897,     32877,     32859,     32843,     32828,     32814,     32803, 
    32793,     32784,     32778,     32773,     32769,     32768,     32768,     32769,     32773,     32778, 
    32784,     32793,     32803,     32814,     32828,     32843,     32859,     32877,     32897,     32919, 
    32942,     32967,     32994,     33022,     33052,     33083,     33116,     33151,     33188,     33226, 
    33265,     33307,     33350,     33394,     33441,     33488,     33538,     33589,     33642,     33696, 
    33752,     33810,     33869,     33930,     33992,     34056,     34122,     34189,     34258,     34328, 
    34400,     34474,     34549,     34626,     34704,     34784,     34865,     34948,     35033,     35119, 
    35206,     35295,     35386,     35478,     35572,     35667,     35764,     35862,     35962,     36063, 
    36166,     36270,     36376,     36483,     36592,     36702,     36814,     36927,     37042,     37158, 
    37275,     37394,     37514,     37636,     37759,     37884,     38010,     38137,     38266,     38396, 
    38527,     38660,     38794,     38930,     39067,     39205,     39345,     39486,     39628,     39772, 
    39916,     40063,     40210,     40359,     40509,     40660,     40813,     40967,     41122,     41278, 
    41436,     41594,     41754,     41916,     42078,     42242,     42406,     42572,     42739,     42908, 
    43077,     43248,     43419,     43592,     43766,     43941,     44117,     44294,     44473,     44652, 
    44832,     45014,     45196,     45380,     45564,     45750,     45937,     46124,     46313,     46502, 
    46693,     46884,     47077,     47270,     47464,     47659,     47856,     48052,     48250,     48449, 
    48649,     48849,     49051,     49253,     49456,     49659,     49864,     50069,     50276,     50483, 
    50690,     50899,     51108,     51318,     51529,     51740,     51952,     52165,     52378,     52592, 
    52807,     53023,     53239,     53455,     53673,     53891,     54109,     54328,     54548,     54768, 
    54989,     55210,     55432,     55654,     55877,     56100,     56324,     56548,     56773,     56998, 
    57224,     57450,     57676,     57903,     58130,     58358,     58586,     58814,     59043,     59272, 
    59501,     59730,     59960,     60191,     60421,     60652,     60883,     61114,     61345,     61577, 
    61809,     62041,     62273,     62505,     62738,     62970,     63203,     63436,     63669,     63902, 
    64135,     64369,     64602,     64835,     65069,     65302,         0,       233,       466,       700, 
      933,      1166,      1400,      1633,      1866,      2099,      2332,      2565,      2797,      3030, 
     3262,      3494,      3726,      3958,      4190,      4421,      4652,      4883,      5114,      5344, 
     5575,      5805,      6034,      6263,      6492,      6721,      6949,      7177,      7405,      7632, 
     7859,      8085,      8311,      8537,      8762,      8987,      9211,      9435,      9658,      9881, 
    10103,     10325,     10546,     10767,     10987,     11207,     11426,     11644,     11862,     12080, 
    12296,     12512,     12728,     12943,     13157,     13370,     13583,     13795,     14006,     14217, 
    14427,     14636,     14845,     15052,     15259,     15466,     15671,     15876,     16079,     16282, 
    16484,     16686,     16886,     17086,     17285,     17483,     17679,     17876,     18071,     18265, 
    18458,     18651,     18842,     19033,     19222,     19411,     19598,     19785,     19971,     20155, 
    20339,     20521,     20703,     20883,     21062,     21241,     21418,     21594,     21769,     21943, 
    22116,     22287,     22458,     22627,     22796,     22963,     23129,     23293,     23457,     23619, 
    23781,     23941,     24099,     24257,     24413,     24568,     24722,     24875,     25026,     25176, 
    25325,     25472,     25619,     25763,     25907,     26049,     26190,     26330,     26468,     26605, 
    26741,     26875,     27008,     27139,     27269,     27398,     27525,     27651,     27776,     27899, 
    28021,     28141,     28260,     28377,     28493,     28608,     28721,     28833,     28943,     29052, 
    29159,     29265,     29369,     29472,     29573,     29673,     29771,     29868,     29963,     30057, 
    30149,     30240,     30329,     30416,     30502,     30587,     30670,     30751,     30831,     30909, 
    30986,     31061,     31135,     31207,     31277,     31346,     31413,     31479,     31543,     31605, 
    31666,     31725,     31783,     31839,     31893,     31946,     31997,     32047,     32094,     32141, 
    32185,     32228,     32270,     32309,     32347,     32384,     32419,     32452,     32483,     32513, 
    32541,     32568,     32593,     32616,     32638,     32658,     32676,     32692,     32707,     32721, 
    32732,     32742,     32751,     32757,     32762,     32766,     32767,     32767,     32766,     32762, 
    32757,     32751,     32742,     32732,     32721,     32707,     32692,     32676,     32658,     32638, 
    32616,     32593,     32568,     32541,     32513,     32483,     32452,     32419,     32384,     32347, 
    32309,     32270,     32228,     32185,     32141,     32094,     32047,     31997,     31946,     31893, 
    31839,     31783,     31725,     31666,     31605,     31543,     31479,     31413,     31346,     31277, 
    31207,     31135,     31061,     30986,     30909,     30831,     30751,     30670,     30587,     30502, 
    30416,     30329,     30240,     30149,     30057,     29963,     29868,     29771,     29673,     29573, 
    29472,     29369,     29265,     29159,     29052,     28943,     28833,     28721,     28608,     28493, 
    28377,     28260,     28141,     28021,     27899,     27776,     27651,     27525,     27398,     27269, 
    27139,     27008,     26875,     26741,     26605,     26468,     26330,     26190,     26049,     25907, 
    25763,     25619,     25472,     25325,     25176,     25026,     24875,     24722,     24568,     24413, 
    24257,     24099,     23941,     23781,     23619,     23457,     23293,     23129,     22963,     22796, 
    22627,     22458,     22287,     22116,     21943,     21769,     21594,     21418,     21241,     21062, 
    20883,     20703,     20521,     20339,     20155,     19971,     19785,     19598,     19411,     19222, 
    19033,     18842,     18651,     18458,     18265,     18071,     17876,     17679,     17483,     17285, 
    17086,     16886,     16686,     16484,     16282,     16079,     15876,     15671,     15466,     15259, 
    15052,     14845,     14636,     14427,     14217,     14006,     13795,     13583,     13370,     13157, 
    12943,     12728,     12512,     12296,     12080,     11862,     11644,     11426,     11207,     10987, 
    10767,     10546,     10325,     10103,      9881,      9658,      9435,      9211,      8987,      8762, 
     8537,      8311,      8085,      7859,      7632,      7405,      7177,      6949,      6721,      6492, 
     6263,      6034,      5805,      5575,      5344,      5114,      4883,      4652,      4421,      4190, 
     3958,      3726,      3494,      3262,      3030,      2797,      2565,      2332,      2099,      1866, 
     1633,      1400,      1166,       933,       700,       466,       233,         0,     65302,     65069, 
    64835,     64602,     64369,     64135,     63902,     63669,     63436,     63203,     62970,     62738, 
    62505,     62273,     62041,     61809,     61577,     61345,     61114,     60883,     60652,     60421, 
    60191,     59960,     59730,     59501,     59272,     59043,     58814,     58586,     58358,     58130, 
    57903,     57676,     57450,     57224,     56998,     56773,     56548,     56324,     56100,     55877, 
    55654,     55432,     55210,     54989,     54768,     54548,     54328,     54109,     53891,     53673, 
    53455,     53239,     53023,     52807,     52592,     52378,     52165,     51952,     51740,     51529, 
    51318,     51108,     50899,     50690,     50483,     50276,     50069,     49864,     49659,     49456, 
    49253,     49051,     48849,     48649,     48449,     48250,     48052,     47856,     47659,     47464, 
    47270,     47077,     46884,     46693,     46502,     46313,     46124,     45937,     45750,     45564, 
    45380,     45196,     45014,     44832,     44652,     44473,     44294,     44117,     43941,     43766, 
    43592,     43419,     43248,     43077,     42908,     42739,     42572,     42406,     42242,     42078, 
    41916,     41754,     41594,     41436,     41278,     41122,     40967,     40813,     40660,     40509, 
    40359,     40210,     40063,     39916,     39772,     39628,     39486,     39345,     39205,     39067, 
    38930,     38794,     38660,     38527,     38396,     38266,     38137,     38010,     37884,     37759, 
